Date,Open,High,Low,Close,Volume
2015-01-07,18.6127,18.9226,18.4338,18.8546,238311.60235555
2015-01-08,18.9885,19.2534,18.6567,19.0385,261556.73241429
2015-01-09,19.0385,19.8372,19.0115,19.8072,415067.02710848
2015-01-12,19.7982,20.286,19.4973,20.264,541258.59174396
2015-01-13,20.308,20.6989,20.0721,20.1691,519171.91669503
2015-01-14,20.2191,20.478,19.7862,20.2271,321706.35756113
2015-01-15,20.2191,20.308,19.8432,20.1171,253620.61532202
2015-01-16,20.0721,20.25,19.8702,19.9482,179778.61217923
2015-01-20,20.0511,20.1241,19.8882,19.8962,399179.78703003
2015-01-21,19.8522,20.1691,19.8312,20.0051,386538.82200067
2015-01-22,20.0431,20.6149,20.0211,20.47,728342.07307833
2015-01-23,20.413,21.2507,20.322,20.8618,350655.72809134
2015-01-26,20.8968,21.1627,20.6849,20.9878,200344.68997866
2015-01-27,20.7858,21.0457,20.5889,20.9948,285787.24950643
2015-01-28,21.0077,21.1117,20.25,20.339,198376.91709066
2015-01-29,20.331,20.8318,20.0511,20.8238,210587.71316129
2015-01-30,20.6929,20.9878,20.448,20.7269,171108.20667832
2015-02-02,20.9948,20.9948,20.0881,20.8458,445749.07818877
2015-02-03,20.9438,21.8194,20.6639,21.3816,1043069.6895786
2015-02-04,21.3426,21.7804,21.3426,21.6055,871308.22631877
2015-02-05,21.5635,21.7385,21.4736,21.6945,185386.81492967
2015-02-06,21.7085,21.7295,21.4736,21.6875,144004.56109898
2015-02-09,21.9304,22.2173,21.6405,22.0973,589588.57445475
2015-02-10,22.1213,22.4452,21.9424,22.2483,280603.21335716
2015-02-11,22.2752,22.3812,22.1873,22.3272,129041.68408535
2015-02-12,22.4832,22.5132,22.3042,22.4032,282634.01099958
2015-02-13,22.3582,22.873,22.3582,22.5701,571550.4895826
2015-02-17,22.7681,22.999,22.5072,22.7761,1168226.8479273
2015-02-18,23.1089,23.3008,22.2093,23.2349,2360889.2934968
2015-02-19,23.2868,24.3035,23.2639,23.9426,807419.13240968
2015-02-20,24.0166,24.0745,23.6157,24.0376,426880.66718696
2015-02-23,24.1185,24.2005,23.9046,24.0985,298505.24479119
2015-02-24,24.2085,24.2885,24.0446,24.2795,223744.88094114
2015-02-25,24.3114,24.5693,24.1695,24.3114,376306.80314024
2015-02-26,24.3334,24.9212,24.2965,24.7913,398539.53555656
2015-02-27,25.1791,25.5779,24.9172,25.343,695137.03103539
2015-03-02,25.482,26.1327,25.377,25.9788,566651.56541761
2015-03-03,25.8358,26.0808,25.2751,25.6969,812738.22160414
2015-03-04,25.7409,26.2817,25.6229,25.8358,391784.88251143
2015-03-05,25.9868,26.0957,25.7269,25.8498,446354.31590979
2015-03-06,25.6659,25.8668,25.1331,25.1751,380244.34970209
2015-03-09,25.2301,25.9868,25.1541,25.8588,246977.00589182
2015-03-10,25.6299,25.6809,25.0362,25.0572,374575.12298308
2015-03-11,25.1411,25.6379,25.1411,25.576,329931.58820939
2015-03-12,25.7459,25.9918,25.0811,25.444,472775.69351271
2015-03-13,25.382,26.1987,25.2721,25.8748,453484.11630265
2015-03-16,26.1177,26.2907,25.9408,26.0668,275706.28997803
2015-03-17,25.9338,26.2227,25.8668,26.0528,199091.19764075
2015-03-18,25.9698,26.3706,25.8418,26.1857,153767.3956765
2015-03-19,26.2517,26.4306,26.1337,26.2827,306323.31551804
2015-03-20,26.3097,26.5836,26.2447,26.4536,387658.26168631
2015-03-23,26.4676,26.7855,26.4076,26.5836,170900.12494944
2015-03-24,26.5646,26.6245,25.8668,25.9098,241446.83378971
2015-03-25,25.9978,26.0218,25.467,25.5839,238479.66836734
2015-03-26,25.6449,25.8828,25.364,25.6739,126925.85304411
2015-03-27,25.6379,26.1697,25.526,25.9098,169549.59449759
2015-03-30,26.1027,26.4606,25.9918,26.3337,320084.72062598
2015-03-31,26.2827,26.6245,26.0668,26.3097,273415.39017451
2015-04-01,26.2227,26.4076,25.339,25.7709,440803.1355562
2015-04-02,25.7639,26.1787,25.6959,26.0828,160920.2051067
2015-04-06,26.0887,26.4306,26.0068,26.2297,210421.64793535
2015-04-07,26.2587,26.3776,25.7029,25.7339,230299.45540081
2015-04-08,25.7849,26.1917,25.6139,26.0957,304978.78742375
2015-04-09,25.7639,25.9868,25.2801,25.391,324327.38703066
2015-04-10,25.408,25.436,25.2301,25.2801,157814.98546036
2015-04-13,24.3174,24.9692,24.2075,24.7933,602534.65932694
2015-04-14,24.6803,25.1831,24.6803,24.9782,318737.19135291
2015-04-15,25.2061,25.5839,25.1031,25.1411,105188.31512681
2015-04-16,25.1031,25.2061,24.6943,24.7323,121758.82357461
2015-04-17,24.4494,24.5823,23.7697,24.3174,477898.70569341
2015-04-20,24.3764,24.9862,24.2945,24.9782,220519.61414352
2015-04-21,25.0572,25.1411,24.5464,24.7403,139407.75559804
2015-04-22,24.6583,24.6583,24.2725,24.3904,128199.35324057
2015-04-23,24.4644,24.5464,24.1095,24.4424,240499.46168756
2015-04-24,24.4494,24.6153,24.1975,24.3694,187356.58860353
2015-04-27,24.3694,24.6493,23.4198,23.7557,515667.54027069
2015-04-28,23.7617,24.3094,23.6437,24.0056,585673.03653729
2015-04-29,23.8876,24.3844,23.8276,24.0955,328582.05815047
2015-04-30,23.7976,23.8136,21.7075,22.2852,1356948.9728766
2015-05-01,22.4262,22.878,22.3232,22.799,575152.90451381
2015-05-04,22.886,22.886,22.0483,22.6041,551684.68683228
2015-05-05,22.6781,22.6781,22.0543,22.2183,400205.18978051
2015-05-06,22.2273,22.2413,21.6635,21.9004,266218.56345551
2015-05-07,21.7155,22.1823,21.7155,22.1143,393356.49980021
2015-05-08,22.2712,22.4182,21.9824,21.9884,209072.11787643
2015-05-11,21.9884,22.4772,21.9884,22.2183,237127.13712963
2015-05-12,22.1313,22.1313,21.1807,21.5055,333352.93202076
2015-05-13,21.6785,21.8124,21.5285,21.7874,233758.81414341
2015-05-14,21.7874,22.0413,21.4336,21.8404,528885.73201911
2015-05-15,21.7535,21.7724,21.4466,21.5815,271705.71866175
2015-05-18,21.5285,22.2912,21.5285,22.1663,305425.96306225
2015-05-19,22.0543,22.2852,21.6995,21.7964,235779.60785656
